NL,SQL
what is the mean tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers where credit_score more than 47524 and tenure_months under 754,SELECT * FROM loans WHERE credit_score > 47524 AND tenure_months < 754;
fetch the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the mean tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
display clients where tenure_months greater than 22655 and disbursement_amount not exceeding 703,SELECT * FROM loans WHERE tenure_months > 22655 AND disbursement_amount < 703;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display borrowers with disbursement_amount greater than 734,SELECT * FROM loans WHERE disbursement_amount > 734;
display the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display clients where disbursement_amount above 749,SELECT * FROM loans WHERE disbursement_amount > 749;
fetch people with disbursement_amount above 15781 and tenure_months not exceeding 627,SELECT * FROM loans WHERE disbursement_amount > 15781 AND tenure_months < 627;
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the overall credit_score of all loans,SELECT SUM(credit_score) FROM loans;
list customers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
show people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me clients with credit_score more than 709,SELECT * FROM loans WHERE credit_score > 709;
display customers with credit_score more than 36868 and disbursement_amount not exceeding 750,SELECT * FROM loans WHERE credit_score > 36868 AND disbursement_amount < 750;
give me the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display customers having tenure_months above 388,SELECT * FROM loans WHERE tenure_months > 388;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers having disbursement_amount greater than 321,SELECT * FROM loans WHERE disbursement_amount > 321;
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people with tenure_months over 10291 and disbursement_amount below 609,SELECT * FROM loans WHERE tenure_months > 10291 AND disbursement_amount < 609;
list clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
display customers with tenure_months over 550,SELECT * FROM loans WHERE tenure_months > 550;
list clients having credit_score more than 764,SELECT * FROM loans WHERE credit_score > 764;
what is the avg disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list clients having age above 318,SELECT * FROM loans WHERE age > 318;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display customers with credit_score above 44048 and tenure_months less than 631,SELECT * FROM loans WHERE credit_score > 44048 AND tenure_months < 631;
fetch customers having age more than 813,SELECT * FROM loans WHERE age > 813;
fetch clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the mean tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
give me people having disbursement_amount more than 776,SELECT * FROM loans WHERE disbursement_amount > 776;
list customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
what is the total tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
show clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the total disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
fetch customers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people having credit_score over 40678 and tenure_months below 496,SELECT * FROM loans WHERE credit_score > 40678 AND tenure_months < 496;
fetch clients having credit_score above 643,SELECT * FROM loans WHERE credit_score > 643;
fetch people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show customers with tenure_months more than 10879 and credit_score less than 512,SELECT * FROM loans WHERE tenure_months > 10879 AND credit_score < 512;
what is the lowest disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
fetch people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
show customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the lowest disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
give me clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch borrowers with disbursement_amount greater than 24591 and credit_score below 480,SELECT * FROM loans WHERE disbursement_amount > 24591 AND credit_score < 480;
display the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me borrowers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
show customers where credit_score more than 776,SELECT * FROM loans WHERE credit_score > 776;
display customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
give me borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me clients with tenure_months above 310,SELECT * FROM loans WHERE tenure_months > 310;
display customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
fetch borrowers with disbursement_amount greater than 618,SELECT * FROM loans WHERE disbursement_amount > 618;
what is the min credit_score of all loans,SELECT MIN(credit_score) FROM loans;
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
